Demarcación,Embalse,Río,Capacidad,Actual,Diferencia s/anterior,Energía disponible,Capacidad energética,Año,Semana
Cantabrico Oriental,Añarbe,Añarbe,38,32,4,0,0,2024,9
Cantabrico Oriental,Ibiur,Ibiur,8,8,1,0,0,2024,9
Cantabrico Oriental,Ordunte,Ordunte,22,22,2,0,0,2024,9
Cantabrico Oriental,San Antón,Endara,5,5,0,0,0,2024,9
Cantabrico Occidental,Alfilorios,Barrea,8,5,0,0,0,2024,9
Cantabrico Occidental,*  Alsa - Mediajo,Torina,22,19,1,27,15,2024,9
Cantabrico Occidental,*  Arbón,Navia,41,38,2,1,1,2024,9
Cantabrico Occidental,"*  Barca, La",Narcea,34,27,11,3,2,2024,9
Cantabrico Occidental,"*  Cohilla, La",Nansa,12,6,2,16,9,2024,9
Cantabrico Occidental,*  Doiras,Navia,97,93,11,19,17,2024,9
Cantabrico Occidental,Rioseco,Nalón,4,4,1,0,0,2024,9
Cantabrico Occidental,*  Salime,Navia,238,233,28,99,97,2024,9
Cantabrico Occidental,Tanes,Nalón,34,26,-1,6,4,2024,9
Mino-Sil,*  Albarellos,Avia,91,49,3,32,16,2024,9
Mino-Sil,*  Bao,Bibey,238,204,15,290,240,2024,9
Mino-Sil,Bárcena,Sil,341,254,27,333,225,2024,9
Mino-Sil,*  Belesar,Miño,655,611,98,370,340,2024,9
Mino-Sil,"*  Campañana, La",Sil,14,10,1,8,4,2024,9
Mino-Sil,*  Castrelo,Miño,60,56,5,4,4,2024,9
Mino-Sil,*  Cenza,Cenza,40,31,2,112,84,2024,9
Mino-Sil,*  Chandrexa,Navea,61,58,0,101,96,2024,9
Mino-Sil,"*  Conchas, Las",Limia,80,71,6,30,26,2024,9
Mino-Sil,*  Edrada-Mao,Mao,14,13,3,22,20,2024,9
Mino-Sil,*  Frieira,Miño,44,42,4,1,1,2024,9
Mino-Sil,*  Guístolas,Navea,5,4,0,4,4,2024,9
Mino-Sil,*  Matalavilla,Valseco,65,42,8,115,68,2024,9
Mino-Sil,*  Montefurado,Bibey-Sil,10,9,0,4,4,2024,9
Mino-Sil,"*  Peares, Os",Miño,182,178,3,50,49,2024,9
Mino-Sil,*  Peñarrubia,Sil,13,12,2,5,5,2024,9
Mino-Sil,*  Pías (San Agustín),Bibey,10,6,1,19,10,2024,9
Mino-Sil,"*  Portas, Las",Camba,536,516,24,906,857,2024,9
Mino-Sil,*  Prada,Jares,122,111,8,221,200,2024,9
Mino-Sil,"*  Rozas, Las",Sil,28,19,8,55,35,2024,9
Mino-Sil,*  Salas,Salas,87,58,0,79,52,2024,9
Mino-Sil,*  San. Estevo,Sil,213,196,15,77,69,2024,9
Mino-Sil,*  San Martiño,Sil,10,9,0,2,2,2024,9
Mino-Sil,*  San Pedro,Sil,6,5,-1,1,0,2024,9
Mino-Sil,*  San Sebastián,Bibey,46,30,6,116,77,2024,9
Mino-Sil,*  Santa Eulalia,Jares,10,4,-1,7,0,2024,9
Mino-Sil,*  Sequeiros,Sil,11,10,0,3,3,2024,9
Mino-Sil,*  Velle,Miño,17,14,1,1,1,2024,9
Mino-Sil,Vilasouto,Mao,21,19,1,0,0,2024,9
Galicia Costa,*  Barrie de la Maza,Tambre,31,23,-1,8,6,2024,9
Galicia Costa,Cecebre,Mero,22,14,1,0,0,2024,9
Galicia Costa,Eiras,Oitavén,22,20,-1,0,0,2024,9
Galicia Costa,*  Eume,Eume,123,123,0,54,54,2024,9
Galicia Costa,*  Fervenza,Jallas,103,97,9,112,105,2024,9
Galicia Costa,"Forcadas, As",Forcadas,11,8,0,0,0,2024,9
Galicia Costa,*  Portodemouros,Ulla,297,279,22,39,36,2024,9
Galicia Costa,"*  Ribeira, A",Eume,33,31,0,16,15,2024,9
Galicia Costa,Riocobo,Cobo,6,4,0,0,0,2024,9
Galicia Costa,*  Sta Uxia,Jallas,18,18,1,7,6,2024,9
Galicia Costa,Villagudín,Veduino,18,17,0,0,0,2024,9
Cuencas Internas del País Vasco,Ibai-Eder,Ibai-Eder,11,10,0,0,0,2024,9
Cuencas Internas del País Vasco,Urkulu,Urkulu,10,9,1,0,0,2024,9
Duero,"*  Agavanzal, Nª Sª de",Tera,36,27,0,34,23,2024,9
Duero,Águeda,Águeda,15,12,1,0,0,2024,9
Duero,Aguilar,Pisuerga,247,128,8,66,34,2024,9
Duero,*  Aldeadávila,Duero,114,110,4,35,33,2024,9
Duero,*  Almendra,Tormes,2.649,1.964,96,3.458,2.587,2024,9
Duero,Arlanzón,Arlanzón,22,21,4,4,4,2024,9
Duero,Barrios de Luna,Luna,308,238,14,252,188,2024,9
Duero,*  Burgomillodo,Duratón,14,12,0,6,5,2024,9
Duero,Camporredondo,Carrión,69,64,-1,43,40,2024,9
Duero,Casares de Arbas,Casares,37,20,0,0,0,2024,9
Duero,*  Castro,Duero,27,24,-1,14,13,2024,9
Duero,Castro de las Cogotas,Adaja,58,51,1,18,17,2024,9
Duero,*  Cernadilla,Tera,255,177,18,297,195,2024,9
Duero,Cervera,Rivera,10,5,0,3,1,2024,9
Duero,Compuerto,Carrión,95,91,4,42,40,2024,9
Duero,Cuerda del Pozo,Duero,249,213,4,58,54,2024,9
Duero,Irueña,Águeda,110,70,0,0,0,2024,9
Duero,Linares del Arroyo,Riaza,54,48,2,14,12,2024,9
Duero,"Pontón Alto, El",Eresma,7,7,0,0,0,2024,9
Duero,Porma-(Juan Benet),Porma,318,200,9,137,80,2024,9
